FileName,Transcriptions,Description,Emphasis,No. of Words,Emotion,Gender
recorded_audio_5q6h6UP.wav,Similar to a tinel sign digital palpitation of the ischial spine may produce pain.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {spine}.",spine,1,Sad,Female
recorded_audio_447LbNm.wav,"This becomes prohibitive for realistically large values of ""n"".",{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {prohibitive}.,prohibitive,1,Happy,Female
recorded_audio_B0R8YoW.wav,These slogans were featured in-store and in advertising.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {featured}.,featured,1,Happy,Female
recorded_audio_6pnYSyG.wav,The couple welcomed their first child nine months into their marriage.,"Placing emphasis on {first}, {user_id} said {transcription}, in an {emotion} voice.",first,1,Neutral,Female
recorded_audio_Y9OkeAf.wav,"Given her urban district, she felt the placement was irrelevant to her constituents.","In an {emotion} voice, {user_id} says {transcription}. emphasising on {irrelevant}.",irrelevant,1,Sad,Female
recorded_audio_G77qFgX.wav,The alarm panel should have both a buzzer and an indicator light.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {both}.",both,1,Neutral,Female
recorded_audio_Ot3mcLJ.wav,"Meanwhile, the president would be elected by a mixture of the two modes.",{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {mixture}.,mixture,1,Happy,Female
recorded_audio_qAyuIM6.wav,Many variants of this airliner have been built.,"Placing emphasis on {airliner}, {user_id} said {transcription}, in an {emotion} voice.",airliner,1,Neutral,Female
recorded_audio_CdvlrFV.wav,JavaScript supports implicit and explicit delegation.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {implicit}.",implicit,1,Neutral,Female
recorded_audio_ftw4QjU.wav,The neighborhood is largely residential.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {largely}.",largely,1,Sad,Female
recorded_audio_jnbeUmw.wav,It is also the Reception-room for evening parties.,"With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {also}.",also,1,Neutral,Female
recorded_audio_4Ywygpz.wav,In the same year Raysing also bought other properties in Sewerby.,"Placing emphasis on {Sewerby}, {user_id} said {transcription}, in an {emotion} voice.",Sewerby,1,Neutral,Female
recorded_audio_rJwe8tq.wav,Ilam thus remains one of Iran's more undeveloped provinces.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {Iran's}.",Iran's,1,Neutral,Female
recorded_audio_vLFYvqO.wav,It is part of the Hauts-de-France region.,"In an {emotion} voice, {user_id} says {transcription}. emphasising on {Hauts-de-France}.",Hauts-de-France,1,Happy,Female
recorded_audio_XiOefKV.wav,She specialises in black-and-white photography.,"Placing emphasis on {black-and-white}, {user_id} said {transcription}, in an {emotion} voice.",black-and-white,1,Sad,Female
recorded_audio_tqWIEki.wav,"This territory borders on Lankaran, Lerik, Yardimli, Jalilabad, Neftchala districts.","With a {emotion} voice, {user_id} said {transcription}. Placing emphasis on {borders}.",borders,1,Happy,Female
recorded_audio_cCPaScn.wav,"Especially well known were the open-air dances, which would draw participants from miles around.","Placing emphasis on {participants}, {user_id} said {transcription}.",participants,1,Neutral,Female
recorded_audio_SJZAD7M.wav,He replaced Frenchman Bernard Simondi.,{transcription} said {user_id} in a {emotion} voice. Placing emphasis on {Frenchman}.,Frenchman,1,Angry,Female
recorded_audio_0rJ1um4.wav,Hill was orphaned as a toddler and raised by her grandparents.,"Placing emphasis on {and}, {user_id} said {transcription}, in an {emotion} voice.",and,1,Happy,Female
recorded_audio_kbKkmQo.wav,Considered a heretic by the Hasidim.,{user_id} said {transcription} With a {emotion} voice. Placing emphasis on {heretic}.,heretic,1,Happy,Female
