FileName,Emotion,Transcriptions,Duration,Speed,cohen_kappa
MSP-PODCAST_0272_0091.wav,Angry,okay and so to put extreme trust in these ideas no people got to answer some serious questions that have already been explored,9.0925625,2.52953994,0.472222222
MSP-PODCAST_0272_0204.wav,Angry,i am still having a hard time believing you what i am willing to accept right now .,5.0188125,3.586505772,0.472222222
MSP-PODCAST_0611_0160.wav,Angry,are you going to wait for him to move some pieces around this is what i keep waiting for i am waiting to see what he does because right now he signed a bunch of executive orders which i do not like i do not like legislation,10.56,4.450757576,0.464285714
MSP-PODCAST_0232_0233.wav,Angry,right it drops to 40% it drops less than 50 50 as soon as you get out of their field so no i do not want them to have guns because .,8.9300625,3.583401572,0.461538462
MSP-PODCAST_1665_0003_0013.wav,Angry,we have at the comedy sketch group casual violence doing .,4.5900625,2.396481529,0.458333333
MSP-PODCAST_1665_0003_0018.wav,Angry,now this show is part of the pbh free fringe which means it is free to come into the room,4.9800625,4.016013855,0.458333333
MSP-PODCAST_0084_0943.wav,Happy,pat jeff rubin you are up 1st,5.7700625,1.213158436,0.473684211
MSP-PODCAST_1586_0056.wav,Happy,is better than me what and i am going ham i am like you know what you want to go deal with that have him pay your phone bill to help you out with your car note and your rent and stuff like that you know what i am saying i aint .,10.0000625,5.299966875,0.473684211
MSP-PODCAST_0227_0482.wav,Happy,those chickens i will stop i promise i may have been hypnotized myself by telly savalas which is,9.715,1.852804941,0.472222222
MSP-PODCAST_0310_0235.wav,Happy,a little bit and on a good day like last weekend it was really nice,3.6000625,4.16659433,0.472222222
MSP-PODCAST_0359_0364.wav,Happy,the future june 13th 3 to 6 0 pm,4.4400625,2.026998494,0.472222222
MSP-PODCAST_1566_0042.wav,Happy,i can not believe the 2 of you,3.6000625,2.222183643,0.472222222
MSP-PODCAST_1531_0045_0009.wav,Neutral,to me that is a very good sign that he is not sort of looking down on the situation right he knows that he is in the right and things like that and that goes a long way,9.810125,3.873549012,0.466666667
MSP-PODCAST_0282_0381.wav,Neutral,i think the exact opposite is true in your case,3.6518125,2.738366222,0.461538462
MSP-PODCAST_1673_0029.wav,Neutral, show could ollie and susie is new year is shindig and that is on at 4 30 at the south sider from the 9th to the 29th of august she is really good she is a comedian,9.7600625,3.893417691,0.458333333
MSP-PODCAST_0135_0047.wav,Sad,but i guess i really did not know the extent of what he was going through,5.7621875,2.77672325,0.461538462
MSP-PODCAST_1685_0091_0009.wav,Sad,this whole piece ought to be played with the utmost delicacy and without damp,10.2200625,1.369854636,0.454545455
MSP-PODCAST_1665_0186.wav,Surprised,doctor she says doctor doctor i think i am pregnant and the doctor says i hope you do not have any complications as the statewide,5.8700625,4.258898436,0.444444444
MSP-PODCAST_1765_0273.wav,Surprised,but you do not trust nobody and you know when i am talking the holy spirit is telling you because you have not forgiven,7.424,3.232758621,0.416666667
MSP-PODCAST_2324_0483.wav,Surprised,and i remember it was so strong and i was like woo,4.48,2.678571429,0.416666667
